player,date,league_name,team_name,opponent_name,fantasy_points,min,position,goals,assists,shots,shots_on_goal,crosses,fouls_drawn,fouls_committed,tackles_won,interceptions,yellow_cards,red_cards,penalty_kick_miss,clean_sheet,goals_allowed,accurate_passes,shots_assisted,shootout_goals,shootout_misses,game_started,year,month,day,saves,wins,penalty_kick_saved,shootout_saves,points,is_star_of_match
Cristiano Ronaldo,2021-06-15 18:00:00,European Championship 2020,Portugal,Hungary,0.0,90,F,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,10.0,0
Kylian Mbappé,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,2.0,0
Harry Kane,2021-06-13 15:00:00,European Championship 2020,England,Croatia,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,2.0,0
Robert Lewandowski,2021-06-14 18:00:00,European Championship 2020,Poland,Slovakia,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,2021,6,14,0.0,0.0,0.0,0.0,2.0,0
Romelu Lukaku,2021-06-12 21:00:00,European Championship 2020,Belgium,Russia,0.0,90,F,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,10.0,0
Antoine Griezmann,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,2.0,0
Bruno Fernandes,2021-06-15 18:00:00,European Championship 2020,Portugal,Hungary,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,3.0,0
Kevin De Bruyne,2021-06-12 21:00:00,European Championship 2020,Belgium,Russia,0.0,0,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,12,0.0,0.0,0.0,0.0,0.0,0
Ciro Immobile,2021-06-11 21:00:00,European Championship 2020,Italy,Turkey,0.0,90,F,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,11,0.0,0.0,0.0,0.0,9.0,1
Karim Benzema,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,2.0,0
Memphis Depay,2021-06-13 21:00:00,European Championship 2020,Netherlands,Ukraine,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,2.0,0
Eden Hazard,2021-06-12 21:00:00,European Championship 2020,Belgium,Russia,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,12,0.0,0.0,0.0,0.0,1.0,0
Marcus Rashford,2021-06-13 15:00:00,European Championship 2020,England,Croatia,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,13,0.0,0.0,0.0,0.0,1.0,0
Raheem Sterling,2021-06-13 15:00:00,European Championship 2020,England,Croatia,0.0,90,M,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2021,6,13,0.0,0.0,0.0,0.0,8.0,1
Gareth Bale,2021-06-12 15:00:00,European Championship 2020,Wales,Switzerland,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,12,0.0,0.0,0.0,0.0,2.0,0
Kingsley Coman,2021-06-15 21:00:00,European Championship 2020,France,Germany,0.0,0,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,0.0,0
Jadon Sancho,2021-06-13 15:00:00,European Championship 2020,England,Croatia,0.0,0,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,13,0.0,0.0,0.0,0.0,0.0,0
Serge Gnabry,2021-06-15 21:00:00,European Championship 2020,Germany,France,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,2.0,0
Leroy Sané,2021-06-15 21:00:00,European Championship 2020,Germany,France,0.0,59,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,1.0,0
Kai Havertz,2021-06-15 21:00:00,European Championship 2020,Germany,France,0.0,90,M,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,2.0,0
Thomas Müller,2021-06-15 21:00:00,European Championship 2020,Germany,France,0.0,90,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2021,6,15,0.0,0.0,0.0,0.0,2.0,0
André Silva,2021-06-15 18:00:00,European Championship 2020,Portugal,Hungary,0.0,59,F,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2021,6,15,0.0,0.0,0.0,0.0,1.0,0
