player,date,league_name,team_name,opponent_name,fantasy_points,min,position,goals,assists,shots,shots_on_goal,crosses,fouls_drawn,fouls_committed,tackles_won,interceptions,yellow_cards,red_cards,penalty_kick_miss,clean_sheet,goals_allowed,accurate_passes,shots_assisted,shootout_goals,shootout_misses,game_started,year,month,day,saves,wins,penalty_kick_saved,shootout_saves,points,is_star_of_match
Artem Dzyuba,2019-06-08,European Championship Qualifiers,Russia,San Marino,73.66,90,F,4,1,16.0,7.0,1.0,1.0,1.0,0.0,0.0,0,0,1,1,0,23.0,3.0,0.0,0.0,1,2019,6,8,0.0,0.0,0.0,0.0,19.0,1
Cristiano Ronaldo,2019-09-10,European Championship Qualifiers,Portugal,Lithuania,56.7,79,F,4,0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,35.0,3.0,0.0,0.0,1,2019,9,10,0.0,0.0,0.0,0.0,18.0,1
Memphis Depay,2019-03-21,European Championship Qualifiers,Netherlands,Belarus,54.0,90,F,2,2,6.0,4.0,6.0,3.0,0.0,1.0,0.0,0,0,0,1,0,40.0,3.0,0.0,0.0,1,2019,3,21,0.0,0.0,0.0,0.0,16.0,1
Denis Cheryshev,2019-10-13,European Championship Qualifiers,Russia,Cyprus,53.32,90,M,2,2,4.0,3.0,13.0,0.0,3.0,1.0,0.0,0,0,0,1,0,36.0,5.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,19.0,1
Cristiano Ronaldo,2019-11-14,European Championship Qualifiers,Portugal,Lithuania,51.8,83,F,3,0,13.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,40.0,2.0,0.0,0.0,1,2019,11,14,0.0,0.0,0.0,0.0,14.0,1
Toni Kroos,2019-11-16,European Championship Qualifiers,Germany,Belarus,51.76,90,M,2,1,8.0,5.0,4.0,2.0,0.0,1.0,1.0,0,0,0,1,0,123.0,4.0,0.0,0.0,1,2019,11,16,0.0,0.0,0.0,0.0,16.0,1
Mikkel Damsgaard,2021-03-28,European World Cup Qualifiers,Denmark,Moldova,50.42,90,M,2,2,6.0,4.0,4.0,1.0,3.0,1.0,1.0,0,0,0,1,0,31.0,4.0,0.0,0.0,1,2021,3,28,0.0,0.0,0.0,0.0,19.0,1
Christian Eriksen,2019-11-15,European Championship Qualifiers,Denmark,Gibraltar,49.64,90,M,2,0,5.0,2.0,17.0,0.0,0.0,0.0,1.0,0,0,0,1,0,62.0,9.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,13.0,0
Christian Eriksen,2019-09-05,European Championship Qualifiers,Denmark,Gibraltar,47.78,90,M,2,1,4.0,3.0,8.0,0.0,1.0,2.0,0.0,0,0,0,1,0,84.0,6.0,0.0,0.0,1,2019,9,5,0.0,0.0,0.0,0.0,16.0,1
Harry Kane,2019-09-07,European Championship Qualifiers,England,Bulgaria,47.76,77,F,3,1,5.0,4.0,0.0,1.0,1.0,0.0,2.0,0,0,0,1,0,13.0,1.0,0.0,0.0,1,2019,9,7,0.0,0.0,0.0,0.0,17.0,1
Kevin De Bruyne,2019-09-09,European Championship Qualifiers,Belgium,Scotland,46.24,90,M,1,3,4.0,1.0,7.0,0.0,1.0,1.0,0.0,0,0,0,1,0,42.0,7.0,0.0,0.0,1,2019,9,9,0.0,0.0,0.0,0.0,17.0,1
James Forrest,2018-11-20,UEFA Nations League,Scotland,Israel,46.0,90,M,3,0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,0,0,0,0,2,25.0,3.0,0.0,0.0,1,2018,11,20,0.0,0.0,0.0,0.0,17.0,1
Kevin De Bruyne,2019-11-19,European Championship Qualifiers,Belgium,Cyprus,45.96,68,M,2,1,5.0,4.0,7.0,0.0,0.0,1.0,1.0,0,0,0,0,1,28.0,4.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,15.0,1
Robert Lewandowski,2019-10-10,European Championship Qualifiers,Poland,Latvia,45.26,90,F,3,0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,0,0,0,1,0,28.0,4.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,14.0,1
Tomas Soucek,2021-03-24,European World Cup Qualifiers,Czech Republic,Estonia,45.18,90,M,3,0,5.0,3.0,2.0,0.0,3.0,3.0,5.0,0,0,0,0,2,89.0,0.0,0.0,0.0,1,2021,3,24,0.0,0.0,0.0,0.0,17.0,1
Ferran Torres,2020-11-17,UEFA Nations League,Spain,Germany,45.02,73,M,3,0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,16.0,2.0,0.0,0.0,1,2020,11,17,0.0,0.0,0.0,0.0,18.0,1
Phil Foden,2020-11-18,UEFA Nations League,England,Iceland,44.34,90,M,2,1,5.0,4.0,6.0,1.0,0.0,0.0,0.0,0,0,0,1,0,57.0,3.0,0.0,0.0,1,2020,11,18,0.0,0.0,0.0,0.0,16.0,1
Gerard Moreno,2019-11-15,European Championship Qualifiers,Spain,Malta,43.94,90,F,1,3,6.0,1.0,0.0,0.0,2.0,1.0,4.0,0,0,0,1,0,47.0,6.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,15.0,1
Denis Cheryshev,2019-03-24,European Championship Qualifiers,Russia,Kazakhstan,43.9,90,M,2,1,5.0,3.0,10.0,1.0,1.0,0.0,1.0,1,0,0,1,0,20.0,3.0,0.0,0.0,1,2019,3,24,0.0,0.0,0.0,0.0,15.0,1
Georginio Wijnaldum,2019-11-19,European Championship Qualifiers,Netherlands,Estonia,43.72,90,M,3,0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,61.0,2.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,18.0,1
Harry Kane,2019-10-14,European Championship Qualifiers,England,Bulgaria,43.7,90,F,1,3,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0,0,0,1,0,15.0,5.0,0.0,0.0,1,2019,10,14,0.0,0.0,0.0,0.0,15.0,0
Serge Gnabry,2019-11-19,European Championship Qualifiers,Germany,Northern Ireland,43.04,80,M,3,0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,42.0,1.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,17.0,1
Cristiano Ronaldo,2019-06-05,UEFA Nations League,Portugal,Switzerland,42.48,90,F,3,0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0,0,0,0,1,29.0,1.0,0.0,0.0,1,2019,6,5,0.0,0.0,0.0,0.0,14.0,1
Hans Vanaken,2021-03-30,European World Cup Qualifiers,Belgium,Belarus,42.48,90,M,2,1,5.0,5.0,0.0,1.0,1.0,2.0,0.0,0,0,0,1,0,99.0,2.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,16.0,1
Loris Benito,2019-11-18,European Championship Qualifiers,Switzerland,Gibraltar,42.1,90,D,1,2,5.0,2.0,6.0,0.0,4.0,2.0,2.0,0,0,0,0,1,45.0,7.0,0.0,0.0,1,2019,11,18,0.0,0.0,0.0,0.0,14.0,1
Memphis Depay,2021-03-30,European World Cup Qualifiers,Netherlands,Gibraltar,41.92,90,F,2,0,7.0,4.0,8.0,0.0,2.0,0.0,0.0,0,0,0,1,0,66.0,5.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,10.0,0
John McGinn,2019-10-13,European Championship Qualifiers,Scotland,San Marino,41.66,70,M,3,0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0,0,0,1,0,23.0,0.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,18.0,1
Robert Skov,2019-11-15,European Championship Qualifiers,Denmark,Gibraltar,41.62,90,M,2,1,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0,46.0,3.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,16.0,1
Romelu Lukaku,2019-10-10,European Championship Qualifiers,Belgium,San Marino,41.32,76,F,2,1,8.0,4.0,0.0,2.0,2.0,0.0,0.0,0,0,0,1,0,16.0,2.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,13.0,0
Aleksandr Golovin,2019-10-10,European Championship Qualifiers,Russia,Scotland,41.1,90,M,1,2,5.0,2.0,6.0,2.0,1.0,0.0,3.0,0,0,0,1,0,45.0,4.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,14.0,1
Haris Seferovic,2018-11-18,UEFA Nations League,Switzerland,Belgium,40.94,89,F,3,0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,2,12.0,1.0,0.0,0.0,1,2018,11,18,0.0,0.0,0.0,0.0,13.0,1
Memphis Depay,2019-09-09,European Championship Qualifiers,Netherlands,Estonia,40.84,90,F,1,2,8.0,3.0,6.0,1.0,2.0,0.0,0.0,0,0,0,1,0,32.0,3.0,0.0,0.0,1,2019,9,9,0.0,0.0,0.0,0.0,12.0,1
Ryan Christie,2019-10-13,European Championship Qualifiers,Scotland,San Marino,40.6,90,M,0,2,3.0,1.0,20.0,2.0,1.0,0.0,0.0,0,0,0,1,0,55.0,8.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,9.0,0
Memphis Depay,2018-09-06,International Friendlies,Netherlands,Peru,40.54,90,F,2,0,5.0,3.0,5.0,3.0,1.0,0.0,0.0,0,0,0,0,1,27.0,6.0,0.0,0.0,1,2018,9,6,0.0,0.0,0.0,0.0,10.0,1
Harry Kane,2019-11-14,European Championship Qualifiers,England,Montenegro,40.14,57,F,3,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.0,0.0,0.0,0.0,1,2019,11,14,0.0,0.0,0.0,0.0,13.0,0
Christian Eriksen,2018-09-09,UEFA Nations League,Denmark,Wales,39.5,90,M,2,0,5.0,3.0,8.0,1.0,2.0,0.0,0.0,0,0,0,1,0,45.0,5.0,0.0,0.0,1,2018,9,9,0.0,0.0,0.0,0.0,13.0,1
Christoph Baumgartner,2020-09-07,UEFA Nations League,Austria,Romania,39.16,90,M,1,1,5.0,1.0,13.0,1.0,2.0,0.0,1.0,0,0,0,0,3,28.0,7.0,0.0,0.0,1,2020,9,7,0.0,0.0,0.0,0.0,10.0,1
Memphis Depay,2019-06-06,UEFA Nations League,Netherlands,England,38.88,120,F,0,2,10.0,6.0,6.0,0.0,2.0,1.0,0.0,0,0,0,0,1,34.0,6.0,0.0,0.0,1,2019,6,6,0.0,0.0,0.0,0.0,8.0,1
Robert Lewandowski,2020-10-14,UEFA Nations League,Poland,Bosnia and Herzegovina,38.86,58,F,2,1,8.0,3.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,18.0,1.0,0.0,0.0,1,2020,10,14,0.0,0.0,0.0,0.0,12.0,1
Artem Dzyuba,2019-10-10,European Championship Qualifiers,Russia,Scotland,38.66,87,F,2,1,6.0,2.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0,23.0,2.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,13.0,0
Eden Hazard,2019-11-16,European Championship Qualifiers,Belgium,Russia,38.62,90,M,2,1,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,1,31.0,3.0,0.0,0.0,1,2019,11,16,0.0,0.0,0.0,0.0,15.0,1
Ciro Immobile,2019-11-18,European Championship Qualifiers,Italy,Armenia,38.24,90,F,2,1,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0,0,0,0,1,37.0,1.0,0.0,0.0,1,2019,11,18,0.0,0.0,0.0,0.0,13.0,1
Raheem Sterling,2019-10-14,European Championship Qualifiers,England,Bulgaria,38.1,73,M,2,1,5.0,4.0,0.0,2.0,1.0,0.0,0.0,0,0,0,1,0,30.0,1.0,0.0,0.0,1,2019,10,14,0.0,0.0,0.0,0.0,16.0,1
Sebastian Larsson,2019-10-12,European Championship Qualifiers,Sweden,Malta,37.84,90,M,2,0,5.0,3.0,7.0,0.0,2.0,2.0,0.0,0,0,0,1,0,47.0,3.0,0.0,0.0,1,2019,10,12,0.0,0.0,0.0,0.0,13.0,1
Raheem Sterling,2019-03-22,European Championship Qualifiers,England,Czech Republic,37.72,70,M,3,0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0,26.0,0.0,0.0,0.0,1,2019,3,22,0.0,0.0,0.0,0.0,18.0,1
Antoine Griezmann,2018-10-16,UEFA Nations League,France,Germany,37.7,89,F,2,0,4.0,2.0,6.0,3.0,0.0,0.0,0.0,0,0,0,0,1,25.0,4.0,0.0,0.0,1,2018,10,16,0.0,0.0,0.0,0.0,10.0,1
Diogo Jota,2020-10-14,UEFA Nations League,Portugal,Sweden,37.64,88,M,2,1,6.0,2.0,3.0,1.0,2.0,0.0,1.0,1,0,0,1,0,27.0,2.0,0.0,0.0,1,2020,10,14,0.0,0.0,0.0,0.0,15.0,1
Aleksandar Trajkovski,2018-11-19,UEFA Nations League,North Macedonia,Gibraltar,37.34,90,F,1,0,6.0,2.0,12.0,1.0,1.0,2.0,0.0,0,0,0,1,0,72.0,7.0,0.0,0.0,1,2018,11,19,0.0,0.0,0.0,0.0,6.0,0
Eden Hazard,2019-03-21,European Championship Qualifiers,Belgium,Russia,37.3,90,M,2,0,4.0,2.0,1.0,5.0,0.0,0.0,1.0,0,0,0,0,1,55.0,4.0,0.0,0.0,1,2019,3,21,0.0,0.0,0.0,0.0,12.0,1
Ilkay Gündogan,2019-10-13,European Championship Qualifiers,Germany,Estonia,37.16,90,M,2,1,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0,0,0,1,0,148.0,1.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,16.0,1
Raheem Sterling,2019-09-10,European Championship Qualifiers,England,Kosovo,37.06,90,M,1,2,5.0,4.0,2.0,2.0,1.0,0.0,1.0,0,0,0,0,3,33.0,2.0,0.0,0.0,1,2019,9,10,0.0,0.0,0.0,0.0,13.0,1
Christian Eriksen,2019-06-10,European Championship Qualifiers,Denmark,Georgia,37.04,90,M,1,0,5.0,3.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,1,72.0,8.0,0.0,0.0,1,2019,6,10,0.0,0.0,0.0,0.0,7.0,0
Memphis Depay,2019-10-10,European Championship Qualifiers,Netherlands,Northern Ireland,37.0,90,F,2,0,5.0,3.0,7.0,3.0,0.0,0.0,0.0,1,0,0,0,1,30.0,2.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,9.0,1
Burak Yilmaz,2021-03-24,European World Cup Qualifiers,Turkey,Netherlands,36.92,89,F,3,0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,1,0,0,0,2,21.0,0.0,0.0,0.0,1,2021,3,24,0.0,0.0,0.0,0.0,13.0,1
Steven Berghuis,2021-03-30,European World Cup Qualifiers,Netherlands,Gibraltar,36.86,81,M,1,1,3.0,3.0,9.0,1.0,1.0,1.0,0.0,0,0,0,1,0,53.0,6.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,11.0,0
Ben Chilwell,2019-11-14,European Championship Qualifiers,England,Montenegro,36.84,90,D,0,3,0.0,0.0,10.0,1.0,2.0,3.0,1.0,0,0,0,1,0,67.0,4.0,0.0,0.0,1,2019,11,14,0.0,0.0,0.0,0.0,15.0,1
Federico Chiesa,2019-11-18,European Championship Qualifiers,Italy,Armenia,36.84,90,F,1,2,6.0,2.0,4.0,0.0,1.0,0.0,0.0,0,0,0,0,1,27.0,4.0,0.0,0.0,1,2019,11,18,0.0,0.0,0.0,0.0,12.0,0
Antoine Griezmann,2019-03-22,European Championship Qualifiers,France,Moldova,36.54,73,F,1,1,3.0,2.0,8.0,1.0,3.0,1.0,1.0,0,0,0,0,0,47.0,8.0,0.0,0.0,1,2019,3,22,0.0,0.0,0.0,0.0,9.0,1
Christian Eriksen,2020-11-15,UEFA Nations League,Denmark,Iceland,36.42,90,M,2,0,5.0,3.0,5.0,2.0,0.0,0.0,0.0,0,0,0,0,1,46.0,2.0,0.0,0.0,1,2020,11,15,0.0,0.0,0.0,0.0,12.0,1
Memphis Depay,2021-03-27,European World Cup Qualifiers,Netherlands,Latvia,36.32,89,F,0,1,10.0,4.0,7.0,3.0,0.0,0.0,0.0,0,0,0,1,0,71.0,7.0,0.0,0.0,1,2021,3,27,0.0,0.0,0.0,0.0,5.0,0
Teemu Pukki,2019-06-08,European Championship Qualifiers,Finland,Bosnia and Herzegovina,36.26,90,F,2,0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,0,0,0,1,0,13.0,1.0,0.0,0.0,1,2019,6,8,0.0,0.0,0.0,0.0,10.0,1
Yannick Carrasco,2019-11-19,European Championship Qualifiers,Belgium,Cyprus,35.88,90,M,1,2,3.0,2.0,2.0,1.0,4.0,2.0,3.0,0,0,0,0,1,49.0,4.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,13.0,0
Memphis Depay,2019-03-24,European Championship Qualifiers,Netherlands,Germany,35.64,90,F,1,1,4.0,2.0,10.0,3.0,2.0,0.0,0.0,0,0,0,0,3,32.0,4.0,0.0,0.0,1,2019,3,24,0.0,0.0,0.0,0.0,9.0,1
Admir Mehmedi,2019-09-08,European Championship Qualifiers,Switzerland,Gibraltar,35.46,90,F,1,0,6.0,2.0,15.0,0.0,0.0,0.0,0.0,0,0,0,1,0,48.0,6.0,0.0,0.0,1,2019,9,8,0.0,0.0,0.0,0.0,6.0,0
Teemu Pukki,2019-11-15,European Championship Qualifiers,Finland,Liechtenstein,35.14,84,F,2,0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1,0,37.0,4.0,0.0,0.0,1,2019,11,15,0.0,0.0,0.0,0.0,10.0,1
Ruben Vargas,2019-11-18,European Championship Qualifiers,Switzerland,Gibraltar,35.0,85,M,1,1,3.0,3.0,4.0,3.0,1.0,0.0,0.0,0,0,0,0,1,35.0,7.0,0.0,0.0,1,2019,11,18,0.0,0.0,0.0,0.0,10.0,0
Artem Dzyuba,2019-10-13,European Championship Qualifiers,Russia,Cyprus,34.88,90,F,1,2,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0,0,0,1,0,19.0,6.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,12.0,0
Ezgjan Alioski,2019-03-21,European Championship Qualifiers,North Macedonia,Latvia,34.56,90,M,1,1,5.0,1.0,7.0,3.0,2.0,2.0,0.0,0,0,0,0,1,33.0,3.0,0.0,0.0,1,2019,3,21,0.0,0.0,0.0,0.0,10.0,0
Kieran Tierney,2021-03-31,European World Cup Qualifiers,Scotland,Faroe Islands,34.54,79,D,0,3,2.0,1.0,4.0,2.0,0.0,0.0,2.0,0,0,0,1,0,87.0,3.0,0.0,0.0,1,2021,3,31,0.0,0.0,0.0,0.0,15.0,1
Marko Arnautovic,2019-09-06,European Championship Qualifiers,Austria,Latvia,34.36,90,F,2,0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,43.0,3.0,0.0,0.0,1,2019,9,6,0.0,0.0,0.0,0.0,10.0,0
Owen Wijndal,2021-03-30,European World Cup Qualifiers,Netherlands,Gibraltar,34.32,90,D,0,2,2.0,1.0,11.0,1.0,0.0,2.0,0.0,0,0,0,1,0,31.0,5.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,12.0,1
Mehmet Zeki Çelik,2019-06-02,International Friendlies,Turkey,Uzbekistan,34.22,90,D,2,0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0,0,0,1,0,36.0,2.0,0.0,0.0,1,2019,6,2,0.0,0.0,0.0,0.0,18.0,1
Ruslan Malinovskiy,2019-10-11,European Championship Qualifiers,Ukraine,Lithuania,34.22,90,M,2,0,3.0,3.0,2.0,0.0,0.0,4.0,0.0,0,0,0,1,0,91.0,1.0,0.0,0.0,1,2019,10,11,0.0,0.0,0.0,0.0,13.0,1
Georginio Wijnaldum,2019-10-13,European Championship Qualifiers,Netherlands,Belarus,34.14,90,M,2,0,5.0,3.0,0.0,2.0,0.0,0.0,2.0,0,0,0,0,1,57.0,2.0,0.0,0.0,1,2019,10,13,0.0,0.0,0.0,0.0,12.0,1
Memphis Depay,2018-11-16,UEFA Nations League,Netherlands,France,34.14,90,F,1,0,5.0,5.0,7.0,2.0,1.0,0.0,0.0,0,0,0,1,0,37.0,7.0,0.0,0.0,1,2018,11,16,0.0,0.0,0.0,0.0,6.0,0
Youri Tielemans,2019-10-10,European Championship Qualifiers,Belgium,San Marino,34.12,90,M,1,1,5.0,2.0,2.0,0.0,1.0,6.0,1.0,0,0,0,1,0,86.0,2.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,11.0,0
Cristiano Ronaldo,2020-09-08,UEFA Nations League,Portugal,Sweden,34.04,81,F,2,0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1,0,32.0,0.0,0.0,0.0,1,2020,9,8,0.0,0.0,0.0,0.0,10.0,1
Aleksandr Golovin,2019-06-08,European Championship Qualifiers,Russia,San Marino,34.0,90,M,0,1,7.0,4.0,9.0,2.0,1.0,0.0,0.0,0,0,0,1,0,60.0,8.0,0.0,0.0,1,2019,6,8,0.0,0.0,0.0,0.0,6.0,0
Olivier Giroud,2020-11-17,UEFA Nations League,France,Sweden,33.82,84,F,2,0,6.0,5.0,0.0,0.0,1.0,1.0,2.0,0,0,0,0,1,16.0,1.0,0.0,0.0,1,2020,11,17,0.0,0.0,0.0,0.0,10.0,1
John McGinn,2019-11-19,European Championship Qualifiers,Scotland,Kazakhstan,33.72,89,M,2,0,6.0,3.0,1.0,2.0,1.0,1.0,0.0,0,0,0,0,1,26.0,1.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,12.0,1
Kasper Dolberg,2019-10-15,International Friendlies,Denmark,Luxembourg,33.72,61,F,2,1,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,11.0,2.0,0.0,0.0,1,2019,10,15,0.0,0.0,0.0,0.0,13.0,1
Marko Arnautovic,2019-06-10,European Championship Qualifiers,Austria,North Macedonia,33.4,89,F,2,0,7.0,5.0,0.0,0.0,3.0,0.0,1.0,0,0,0,0,1,20.0,2.0,0.0,0.0,1,2019,6,10,0.0,0.0,0.0,0.0,10.0,1
Stefano Sensi,2019-03-26,European Championship Qualifiers,Italy,Liechtenstein,33.4,90,M,1,0,4.0,1.0,9.0,1.0,2.0,2.0,1.0,0,0,0,1,0,80.0,8.0,0.0,0.0,1,2019,3,26,0.0,0.0,0.0,0.0,8.0,0
Kasper Dolberg,2019-06-10,European Championship Qualifiers,Denmark,Georgia,33.32,90,F,2,0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0,0,0,0,1,16.0,1.0,0.0,0.0,1,2019,6,10,0.0,0.0,0.0,0.0,10.0,1
Yevhen Konoplyanka,2019-06-07,European Championship Qualifiers,Ukraine,Serbia,33.24,76,M,2,0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0,0,0,1,0,27.0,0.0,0.0,0.0,1,2019,6,7,0.0,0.0,0.0,0.0,13.0,1
Teemu Pukki,2021-03-24,European World Cup Qualifiers,Finland,Bosnia and Herzegovina,32.98,90,F,2,0,6.0,5.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,2,14.0,0.0,0.0,0.0,1,2021,3,24,0.0,0.0,0.0,0.0,10.0,1
Andrea Belotti,2019-09-05,European Championship Qualifiers,Italy,Armenia,32.88,90,F,2,0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,0,0,0,0,1,9.0,1.0,0.0,0.0,1,2019,9,5,0.0,0.0,0.0,0.0,10.0,1
Antoine Griezmann,2019-11-17,European Championship Qualifiers,France,Albania,32.86,90,F,1,1,1.0,1.0,7.0,2.0,1.0,1.0,1.0,0,0,0,1,0,48.0,6.0,0.0,0.0,1,2019,11,17,0.0,0.0,0.0,0.0,9.0,1
Kingsley Coman,2019-09-07,European Championship Qualifiers,France,Albania,32.86,77,M,2,0,2.0,2.0,5.0,2.0,1.0,0.0,0.0,0,0,0,0,0,43.0,3.0,0.0,0.0,1,2019,9,7,0.0,0.0,0.0,0.0,12.0,1
Christian Benteke,2019-11-19,European Championship Qualifiers,Belgium,Cyprus,32.76,80,F,2,0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,13.0,3.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,10.0,0
Leandro Trossard,2021-03-30,European World Cup Qualifiers,Belgium,Belarus,32.76,90,F,2,0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0,0,0,1,0,48.0,2.0,0.0,0.0,1,2021,3,30,0.0,0.0,0.0,0.0,10.0,0
Dominik Szoboszlai,2020-11-12,European Championship Qualifiers,Hungary,Iceland,32.68,90,M,1,0,3.0,2.0,12.0,3.0,1.0,0.0,0.0,0,0,0,0,1,39.0,6.0,0.0,0.0,1,2020,11,12,0.0,0.0,0.0,0.0,7.0,1
Aleksey Miranchuk,2019-11-19,European Championship Qualifiers,Russia,San Marino,32.5,65,F,1,0,6.0,4.0,6.0,4.0,0.0,0.0,1.0,0,0,0,1,0,40.0,3.0,0.0,0.0,1,2019,11,19,0.0,0.0,0.0,0.0,6.0,0
Romelu Lukaku,2019-06-11,European Championship Qualifiers,Belgium,Scotland,32.5,90,F,2,0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0,0,0,1,0,20.0,1.0,0.0,0.0,1,2019,6,11,0.0,0.0,0.0,0.0,10.0,1
Memphis Depay,2021-03-24,European World Cup Qualifiers,Netherlands,Turkey,32.36,90,F,0,1,6.0,3.0,13.0,3.0,2.0,1.0,1.0,0,0,1,0,4,38.0,4.0,0.0,0.0,1,2021,3,24,0.0,0.0,0.0,0.0,3.0,0
Romelu Lukaku,2018-09-11,UEFA Nations League,Belgium,Iceland,32.28,90,F,2,0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0,0,0,1,0,14.0,2.0,0.0,0.0,1,2018,9,11,0.0,0.0,0.0,0.0,10.0,1
Thorgan Hazard,2018-11-18,UEFA Nations League,Belgium,Switzerland,32.28,90,M,2,0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0,0,0,0,5,29.0,2.0,0.0,0.0,1,2018,11,18,0.0,0.0,0.0,0.0,12.0,0
Dries Mertens,2019-06-08,European Championship Qualifiers,Belgium,Kazakhstan,32.18,90,F,1,1,8.0,2.0,2.0,0.0,0.0,0.0,2.0,0,0,0,1,0,39.0,3.0,0.0,0.0,1,2019,6,8,0.0,0.0,0.0,0.0,9.0,0
Ryan Fraser,2019-03-24,European Championship Qualifiers,Scotland,San Marino,32.18,90,M,0,1,3.0,0.0,20.0,3.0,0.0,0.0,0.0,0,0,0,1,0,59.0,5.0,0.0,0.0,1,2019,3,24,0.0,0.0,0.0,0.0,6.0,1
Kylian Mbappé,2019-03-25,European Championship Qualifiers,France,Iceland,32.14,90,F,1,2,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0,0,0,1,0,62.0,2.0,0.0,0.0,1,2019,3,25,0.0,0.0,0.0,0.0,12.0,1
Timothy Castagne,2019-10-10,European Championship Qualifiers,Belgium,San Marino,32.04,90,D,1,1,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0,62.0,4.0,0.0,0.0,1,2019,10,10,0.0,0.0,0.0,0.0,15.0,1
Goran Pandev,2018-10-13,UEFA Nations League,North Macedonia,Liechtenstein,32.02,69,F,1,2,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,26.0,4.0,0.0,0.0,1,2018,10,13,0.0,0.0,0.0,0.0,12.0,1
