player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url
230784,11,thomas-partey,Thomas Partey,Ghana,Ghana,1993-06-13,Midfield,Defensive Midfield,Right,185,https://www.transfermarkt.co.uk/thomas-partey/profil/spieler/230784
111455,11,granit-xhaka,Granit Xhaka,Switzerland,Switzerland,1992-09-27,Midfield,Defensive Midfield,Left,186,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
253341,11,rob-holding,Rob Holding,England,England,1995-09-20,Defender,Centre-Back,Right,189,https://www.transfermarkt.co.uk/rob-holding/profil/spieler/253341
128969,11,mathew-ryan,Mathew Ryan,Australia,Australia,1992-04-08,Goalkeeper,,Right,184,https://www.transfermarkt.co.uk/mathew-ryan/profil/spieler/128969
348267,2457,bruno-ramires,Bruno Ramires,Brazil,Brazil,1994-03-18,Midfield,Central Midfield,Right,190,https://www.transfermarkt.co.uk/bruno-ramires/profil/spieler/348267
433177,11,bukayo-saka,Bukayo Saka,Ealing,England,2001-09-05,Attack,Right Winger,Left,178,https://www.transfermarkt.co.uk/bukayo-saka/profil/spieler/433177
179043,2457,dieguinho,Dieguinho,Brazil,Brazil,1992-06-07,Attack,Right Winger,Right,178,https://www.transfermarkt.co.uk/dieguinho/profil/spieler/179043
383807,2457,kikas,Kikas,Portugal,Portugal,1998-09-17,Attack,Centre-Forward,Right,177,https://www.transfermarkt.co.uk/kikas/profil/spieler/383807
681829,2457,nilton-varela,Nilton Varela,,Portugal,2001-05-25,Defender,Left-Back,Left,182,https://www.transfermarkt.co.uk/nilton-varela/profil/spieler/681829
411502,2457,danny-henriques,Danny Henriques,Netherlands,Netherlands,1997-07-29,Defender,Centre-Back,Left,185,https://www.transfermarkt.co.uk/danny-henriques/profil/spieler/411502
93720,11,alexandre-lacazette,Alexandre Lacazette,France,France,1991-05-28,Attack,Centre-Forward,Right,176,https://www.transfermarkt.co.uk/alexandre-lacazette/profil/spieler/93720
348425,2457,miguel-cardoso,Miguel Cardoso,São Sebastião da Pedreira,Portugal,1994-06-19,Attack,Right Winger,Both,176,https://www.transfermarkt.co.uk/miguel-cardoso/profil/spieler/348425
407577,2457,chima-akas,Chima Akas,Nigeria,Nigeria,1994-05-03,Defender,Left-Back,Left,188,https://www.transfermarkt.co.uk/chima-akas/profil/spieler/407577
698047,2457,cesar-sousa,Cesar Sousa,Portugal,Portugal,2000-05-20,Midfield,Attacking Midfield,Right,173,https://www.transfermarkt.co.uk/cesar-sousa/profil/spieler/698047
401736,2457,yaya-sithole,Yaya Sithole,South Africa,South Africa,1999-03-03,Midfield,Central Midfield,Right,186,https://www.transfermarkt.co.uk/yaya-sithole/profil/spieler/401736
326363,2457,andre-moreira,Andre Moreira,Portugal,Portugal,1995-12-02,Goalkeeper,,Right,194,https://www.transfermarkt.co.uk/andre-moreira/profil/spieler/326363
31316,2457,silvestre-varela,Silvestre Varela,Portugal,Portugal,1985-02-02,Attack,Left Winger,Right,180,https://www.transfermarkt.co.uk/silvestre-varela/profil/spieler/31316
210178,11,pablo-mari,Pablo Mari,Spain,Spain,1993-08-31,Defender,Centre-Back,Left,193,https://www.transfermarkt.co.uk/pablo-mari/profil/spieler/210178
98547,2457,stanislav-kritsyuk,Stanislav Kritsyuk,UdSSR,Russia,1990-12-01,Goalkeeper,,Right,192,https://www.transfermarkt.co.uk/stanislav-kritsyuk/profil/spieler/98547
599847,2457,francisco-teixeira,Francisco Teixeira,São Sebastião da Pedreira,Portugal,1998-04-26,Midfield,Attacking Midfield,Left,177,https://www.transfermarkt.co.uk/francisco-teixeira/profil/spieler/599847
388581,2457,thibang-phete,Thibang Phete,South Africa,South Africa,1994-04-04,Midfield,Defensive Midfield,Right,187,https://www.transfermarkt.co.uk/thibang-phete/profil/spieler/388581
58965,2457,ruben-lima,Ruben Lima,Portugal,Portugal,1989-10-03,Defender,Left-Back,Left,177,https://www.transfermarkt.co.uk/ruben-lima/profil/spieler/58965
433358,2457,tomas-ribeiro,Tomas Ribeiro,,Portugal,1999-04-30,Defender,Centre-Back,Left,185,https://www.transfermarkt.co.uk/tomas-ribeiro/profil/spieler/433358
683557,2457,eduardo-kau,Eduardo Kau,Brazil,Brazil,1999-01-17,Defender,Centre-Back,Left,190,https://www.transfermarkt.co.uk/eduardo-kau/profil/spieler/683557
197734,2457,alhassane-keita,Alhassane Keita,Guinea,Guinea,1992-04-16,Attack,Centre-Forward,Right,183,https://www.transfermarkt.co.uk/alhassane-keita/profil/spieler/197734
